base_norm,descriptive_norm,situation,intention,moral_action,moral_consequence,immoral_action,immoral_consequence
التأني (الأناة),منا الأناةُ وبعضُ القومِ يحسَبُنا أنَّا بِطاءٌ وفي إبطائِنا سَرَعُ,في قريةٍ هادئةٍ عند سفحِ جبلٍ أخضر، كان سليمٌ تلميذًا مُجدًّا يُساعد أمَّه في الدكّان، ويُحسن قراءة اللوحات والإشارات في الطرقات.,أراد سليمٌ أن يبلغ السوقَ قبل إغلاقه ليشتري دواءً لجدّتِه المريضة، ويعود به سالمًا دون أن يُعرِّض نفسَه أو غيرَه للخطر.,سار سليمٌ بخطًى موزونة، وتوقّف عند كلِّ مفترقٍ يسأل أهلَ الخبرة، ثم عبر الطريق حين خلا، مُقدِّمًا السلام ومراعيًا حقَّ المارّة.,لما رأى الناسُ حُسنَ تثبّتِه، اطمأنّوا إليه ودلّوه على أقصرِ سبيل، فاشتَرى الدواءَ في وقته، وزاد تقديرُ الجيران لأدبه ورزانته.,اندفع سليمٌ مسرعًا لا يلتفت إلى الإشارات، وقطع الطريق بين الدوابّ والعربات، مُتجاهلًا نصحَ شيخٍ ناداه أن يتمهّل ويتثبت قبل العبور.,فزع المارّة واضطربت الدوابّ، وتعثّر سليمٌ وسقطت نقودُه، فتأخّر عن السوق وخاب رجاؤه، وصار أهلُ الحيّ يلومونه على طيشه وقلّة احتياطه.
الستر,شرُّ الوَرى بمساوي النَّاسِ مُشتغِلٌ مِثلَ الذُّبابِ يُراعي مَوضِعَ العِلَلِ,في مدرسةِ النورِ بحيٍّ هادئٍ من دمشق، كانت هندٌ مجتهدةً تُعين زميلاتها، واعتادت مع صديقتها مريم أن تتذاكرا تحت شجرةِ التوتِ بعد الدروس.,أرادت هندٌ أن تحفظَ مودّةَ الصفِّ وسكينةَ القلوب، وأن تُعين مريم على تجاوزِ هفوةٍ وقعتْ فيها دون أن تُصبحَ حديثَ البناتِ في الساحة.,لمّا سمعت هندٌ زميلاتٍ يتهامسن بخطأٍ لمريم في الواجب، اقتربت بهدوءٍ فحوّلت الحديث، ثم نصحت مريم سرًّا وأعانتها على تصحيحِ عملها.,هدأت الألسنةُ في الصفِّ، وشعرت مريم بالأمان فازدادت اجتهادًا، وتعلّمت البناتُ أن صيانةَ العِرض تُورث المحبةَ والثقةَ بين الزميلات في المدرسة.,لمّا علمت هندٌ بخطأ مريم، سارعت إلى نشر الخبر بين الطالبات، وزيّنت الحديثَ بالسخرية، لتبدو أذكى منهن وتكسب انتباهَ المعلّمة والثناء.,انتشر الهمسُ وصار الصفُّ مجالَ شماتةٍ، فانكسرت نفسُ مريم وتراجعت همتها، وضعفت الثقةُ بهندٍ فابتعدت عنها الزميلات وخفّ التعاونُ بينهن.
الحياء,كريمٌ يَغُضُّ الطَّرفَ فَضْلُ حيائِه ويدنو وأطرافُ الرِّماحِ دوانِ وكالسَّيفِ إن لايَنْتَه لانَ مَتْنُه وحدَّاه إن خاشَنْتَه خَشِنانِ,في سوقِ المدينةِ العتيقةِ كان التاجرُ الصغيرُ عبدُالرحمنِ يبيعُ التمرَ قربَ مسجدٍ عامر، ويلازمُه عمُّه سالمٌ يعلِّمه حُسنَ السمتِ مع الناس.,أراد عبدُالرحمنِ أن يكسبَ ثقةَ الجيرانِ وزبائنَ أكثرَ قبلَ موسمِ رمضان، ليعينَ والدتَه الأرملةَ على نفقةِ البيتِ بمالٍ حلالٍ مبارك.,وقف عبدُالرحمنُ وقورًا يخفضُ طرفَه عند مخاطبةِ النساء، ويُحسنُ الردَّ بلطفٍ، ويعتذرُ برفقٍ إذا أخطأ، ثم يزنُ التمرَ بميزانٍ صادقٍ.,رأى أهلُ السوقِ أدبَه وسترَه، فاطمأنّت إليه القلوبُ، وتنافسَ الجيرانُ على الشراءِ منه، وانتشرَ ذكرُه الحسنُ حتى صار موضعَ مشورةٍ واحترامٍ.,رفع عبدُالرحمنُ صوتَه في السوقِ يمازحُ بغيرِ توقيرٍ، ويطيلُ النظرَ في المارّاتِ، ويُغلِّظُ القولَ عند المساومةِ، ثم يُخفي عيبَ التمرِ طمعًا في الربح.,تضايقَ الناسُ من جرأتِه وسوءِ سمتِه، فقلَّ من يقتربُ من دكّانِه، واشتكى بعضُهم لعمِّه، فانكسرت الثقةُ به وخسرَ زبائنَه سريعًا.
التواضع,وَاخْفِضْ جَنَاحَكَ لِلْمُؤْمِنِينَ [الحجر: 88],في مدرسةٍ بدمشقَ ذاتِ مكتبةٍ عامرةٍ وساحةٍ فسيحة، كانت زينبُ تلميذةً مجتهدةً، ورفيقاتُها يترقّبن عرضَ المشاريعِ أمامَ المعلّماتِ والزائراتِ.,أرادت زينبُ أن تُقنِع لجنةَ التحكيمِ بمشروعِها العلميّ، لتنالَ شرفَ تمثيلِ المدرسةِ في مسابقةِ المدينةِ، وتُفرِحَ أهلَها ومعلّماتِها.,عند عرضِ المشروعِ، ذكرت زينبُ فضلَ زميلاتِها في جمعِ المصادرِ، وخفضت صوتَها عند الثناءِ عليها، وشكرت اللجنةَ بأدبٍ ودعت لهنّ بالتوفيق.,سرّت التلميذاتُ بتواضعِ زينبَ، فازداد تعاونُهنّ معها، وصارت قدوةً في الصفّ، وتحوّل جوُّ المنافسةِ إلى مودةٍ تُعين الجميعَ على الإبداع.,عند عرضِ المشروعِ، نسبت زينبُ الجهدَ كلَّه لنفسِها، وسخرت من أفكارِ زميلاتِها، ورفعت صوتَها بالزهوِ حتى بدت كأنها تُصغِّرُ شأنَ غيرِها.,استاءت التلميذاتُ من تعالي زينبَ، فتباعدن عنها وقلّ تعاونُهنّ، وتحوّلت الساحةُ إلى غلظةٍ وهمسٍ، وضعفَ ثقةُ اللجنةِ بصدقِها وحسنِ خُلُقِها.
التواضع,عن حارثةَ بنِ وَهبٍ رَضِيَ اللَّهُ عنه أنَّه سمع النَّبيَّ صلَّى اللهُ عليه وسلَّم يقولُ: ((ألا أخبِرُكم بأهلِ الجنَّةِ؟ قالوا: بلى. قال صلَّى اللهُ عليه وسلَّم: كُلُّ ضعيفٍ متضَعَّفٍ، لو أقسَمَ على اللَّهِ لأبرَّه. ثمَّ قال: ألا أخبِرُكم بأهلِ النَّارِ؟ قالوا: بلى. قال: كُلُّ عُتُلٍ  جوَّاظٍ  مُستكبِرٍ)),في مدرسةِ النُّورِ بالقاهرةِ كانَ عُمرُ تلميذًا نجيبًا، يلمعُ في الإلقاءِ والبحثِ، ويجاورُهُ زملاءٌ يتعاونونَ في مكتبةٍ هادئةٍ مُعطَّرةٍ برائحةِ الورقِ.,أرادَ عُمرُ أن ينالَ ثقةَ المعلِّمِ وزملائِه في مجلسِ الإذاعةِ الصباحيّةِ، ليقودَ فريقَ القراءةِ ويكونَ قدوةً حسنةً في المدرسةِ.,لمّا أثنى المعلِّمُ على كلمتِه، خفَضَ عُمرُ صوتَه، وشكرَ زملاءَه، وذكرَ فضلَ من أعانَه، ثم دعاهم لاقتسامِ الجهدِ في إعدادِ الفقرةِ القادمةِ.,اطمأنَّ التلاميذُ إلى خُلُقِ عُمرَ، فازدادَ تعاونُهم حولَه، وصارتِ المكتبةُ مجلسَ مودةٍ، وتنافسوا في الخيرِ دونَ حسدٍ، فارتقى شأنُ الفريقِ كلهُ.,لمّا سمعَ تصفيقَ الصفِّ، انتفخَ عُمرُ فخرًا، وزعمَ أنَّهُ وحدَهُ صاحبُ الفضلِ، وسخرَ من اقتراحاتِ رفاقِه، ورفضَ أن يذكرَ من شاركَهُ المراجعةَ.,تغيّرَت وجوهُ الزملاءِ، فتفرّقوا عنهُ وقلَّت مُساعدتُهم، وخفَتَت همَّةُ الفريقِ، وصارَ مجلسُ المكتبةِ مُثقَلًا بالضيقِ، حتى اضطُرَّ المعلِّمُ إلى تبديلِ قائدِهم.
الجود، والكرم، والسخاء، والبذل,عن أبي أُمامةَ قال: قال رسولُ اللهِ صلَّى اللهُ عليه وسلَّم: ((يا ابنَ آدَمَ إنَّك أن تَبذُلَ الفَضلَ خَيرٌ لك، وأن تمسِكَه شَرٌّ لك، ولا تُلامُ على كَفافٍ...)),في حارةٍ من حاراتِ دمشقَ القديمة، كان سليمٌ التاجرُ الشابُّ يملكُ دكّانَ عِطرٍ صغيرًا، ويُجاوره فقراءُ يعتصِرُهم ضيقُ المعيشةِ كلَّ شتاءٍ.,أراد سليمٌ أن يثبُتَ لأهلِ الحارةِ أنّ رِزقَه مباركٌ، وأن يجعلَ دكّانَه مأوى للقلوبِ قبلَ أن يكونَ موضعًا للبيعِ والربحِ.,جمع سليمٌ ما فَضَلَ من قواريرِ الزيتِ والصابونِ عنده، ثم قَسَمَها سرًّا على الأراملِ، واعتذرَ بلطفٍ عمّا قلَّ، ودعا لهم باليسرِ.,انتشرت في الحارةِ سيرةُ سليمٍ الطيبةُ، فصار الجيرانُ يبادلونه الدعاءَ والثقةَ، وكثرت زبائنُه، وتعاونَ الناسُ على تفريجِ كُرَبِ المحتاجين.,أخفى سليمٌ الفائضَ في مخزنِ الدكّان، وغلَّى الأسعارَ في أيامِ البردِ، وتعلّلَ بأنّ التجارةَ لا ترحمُ، وأدار وجهَه عن أصحابِ الحاجةِ.,ضاق صدرُ أهلِ الحارةِ من صنيعه، فقلّت ثقتُهم به، وابتعد الزبائنُ عن دكّانه، وسرت بينهم جفوةٌ تُضعِفُ روحَ التراحمِ والتآزرِ.
النشاط,قال: فتَكَلَّمَ أبو بَكرٍ فأعرَضَ عنه، ثُمَّ تكَلَّمَ عُمَرُ فأعرَضَ عنه، فقامَ سَعدُ بنُ عُبادةَ، فقال: إيَّانا تُريدُ يا رَسولَ الله؟ والذي نفسي بيَدِه، لو أمَرْتَنا أن نُخيضَها البَحرَ لأخَضْناها، ولو أمَرْتَنا أن نضرِبَ أكبادَها إلى بَرْكِ الغِمادِ لفَعَلْنا)),في مدرسةِ الحيّ ببغداد، كُلِّفَت جماعةُ الكشّافة بتنظيفِ ساحةِ المسجدِ القريب، وكان خالدٌ فتىً لطيفًا يلازمُ معلمَه ويحبُّ خدمةَ الناس.,أراد خالدٌ أن يُتمَّ العملَ قبل أذانِ العصر، ليبقى المكانُ طاهرًا للمصلّين، ويثبتَ لرفاقه أنّ النشيطَ يُعينُ الجماعةَ بلا توانٍ.,نهض خالدٌ مبكّرًا، فقسّم المهامَّ بين رفاقه بعدلٍ، وحمل الأدواتَ بنفسه، وجمع الأوساخَ بصبرٍ، واستأذن الإمامَ في كلِّ خطوةٍ قبل القيام بها.,لما رأى الرفاقُ مبادرته، اشتدّت هممُهم وتعاونوا، ففرح الإمامُ ودعا لهم، وصارت الساحةُ أنقى، وتعلّم الصغارُ أنّ نشاطَ الواحدِ يوقظُ نشاطَ الجماعة.,تثاقل خالدٌ ذلك اليوم، وتعلّل بالتعب، فترك الرفاقَ يعملون وحدهم، وأخفى بعضَ الأدواتِ كي يظنّوا أنّ العملَ صعبٌ فيتأخّروا وينصرفوا.,تكدّست القمامةُ وبقي الغبارُ في الساحة، فتضايق المصلّون وعاتب الإمامُ الكشّافة، وقلّت ثقةُ الرفاق بخالدٍ، وصاروا يتحفّظون من تكليفه بمهمّةٍ مشتركة.
التعاون,وَاجْعَلْ لِي وَزِيرًا مِنْ أَهْلِي * هَارُونَ أَخِي * اشْدُدْ بِهِ أَزْرِي * وَأَشْرِكْهُ فِي أَمْرِي [طه: 29 - 32],في مدرسةٍ عتيقةٍ بمدينةِ فاسٍ، كُلِّفَ زيدٌ بإعدادِ مجسّمٍ للجامعِ الكبيرِ لمعرضِ العلوم، وكان الوقتُ ضيّقًا والأدواتُ قليلةً في الخزانةِ.,أراد زيدٌ أن يُتمَّ المجسّمَ بإتقانٍ قبل يومِ العرضِ، ليُشرّف فصلَه ويُدخل السرورَ على معلّمه، دونَ أن يظلمَ أحدًا أو يؤذيَه.,استعان زيدٌ بصديقهِ عمرٍ، فقسّم العملَ بينهما برفقٍ، وشاركه الرأيَ وموادَّ الرسم، وحملا معًا الخشبَ والورقَ إلى الفصلِ قبل الغروبِ.,لمّا رآهما زملاؤهما متآزرين، هانت عليهم المشقّةُ، فتتابعوا يعينون ويقترحون، فازدادت الألفةُ في الصفّ، وخرج المجسّمُ حسنًا يبعثُ الفخرَ.,آثر زيدٌ أن يعمل وحده خفيةً، فاستأثر بالأدواتِ ومنعَ عمرًا من المشاركةِ، ثم نسبَ لنفسه أفكارَ زميلٍ سمعها في الفسحةِ دون استئذانٍ.,إذا شاع خبرُ استئثاره، انطفأت رغبةُ الزملاءِ في معاونته، وداخل القلوبَ نفورٌ وريبةٌ، فضعفت روحُ الجماعةِ وتعثّر العملُ عند أقلِّ نقصٍ.
المداراة,من لم يكُنْ لعَيشِه مُداريًا عاداه مَن كان له مُواليَا ولا غِنًى للفاضِلِ الكبيرِ عن المُداراةِ ولا الصَّغيرِ يستجلِبُ النَّفعَ بها الحكيمُ ويُدرِكُ الحظَّ بها المحرومُ من وارَبَ  النَّاسَ يُخاتِلوه ومَن يصانِعْهم يُجامِلوه,كان حسانُ تلميذًا مجتهدًا في مدرسةِ الحيّ، يجلسُ بجوارِ صديقِه ياسر، وكان ياسرٌ سريعَ الغضبِ في ساحةِ اللعبِ وبين الزملاءِ.,أراد حسانُ أن يحفظَ مودّتَه مع ياسر، وأن يردَّ انفعالاتِه إلى الرفق، ليظلّا متعاونين في الدرسِ واللعبِ دون خصامٍ.,لمّا أخطأ ياسرُ فنسبَ إلى حسانٍ كسرَ المِبراةِ، تلطّف حسانٌ بحديثٍ هادئٍ، وطلبَ التثبّتَ أمامَ المعلّمِ بلا تجريحٍ ولا شماتةٍ.,هدأ ياسرُ حين رأى حلمَ صاحبه، واستحيا من عجلتِه، فاعتذرَ علنًا، وتقوّت ثقةُ التلاميذِ بحسانٍ وسكنت الساحةُ بعد توتّرٍ.,لمّا اتّهمه ياسرُ بكسرِ المِبراةِ، قابله حسانٌ بسخريةٍ جارحةٍ ورفعَ صوتَه، وأخذ يفضحُه بين الزملاءِ ويُكثِرُ من اللومِ والتقريعِ.,اشتدّ غضبُ ياسر، وتفرّق التلاميذُ شيعًا، وارتفعتِ الشكوى إلى المعلّم، فغلبَت القطيعةُ على الصديقينِ واضطربَ جوُّ الصفِّ أيّامًا.
المزاح,إنَّ الصَّديقَ يُريدُ بَسْطَك مازِحًا فإذا رأى منك المَلالةَ يَقصُرُ وترى العَدُوَّ إذا تيقَّنَ أنَّه يؤذيك بالمَزْحِ العَنيفِ يُكثِرُ,في ساحةِ المدرسةِ قبيلَ المسابقةِ الثقافيّةِ، كان سليمٌ يجلسُ مع صديقهِ عُمَرَ تحتَ شجرةٍ باسقةٍ، وقد بدا على عُمَرَ ضيقٌ وتعبٌ.,أرادَ سليمٌ أن يُبدِّدَ كدرَ عُمَرَ ويُعيدَ إليه نشاطَهُ قبلَ المسابقة، من غيرِ أن يجرحَ شعورَهُ أو يزيدَ همَّهُ اضطرابًا.,ابتسمَ سليمٌ وألقى نكتةً رقيقةً عن كثرةِ الكتبِ في حقيبته، ثمّ لاحظَ فتورَ عُمَرَ فسكتَ قليلًا وسألهُ برفقٍ عمّا يُثقِلُ صدرَهُ.,اطمأنَّ عُمَرُ لِحُسنِ أدبِ سليمٍ، فانفرجَ وجهُهُ وشكره، واجتمعَ حولهما زملاءٌ يبتسمون، فخَفَّ التوتّرُ وسادَ الوِئامُ بينَ الفريقِ.,أرادَ سليمٌ إضحاكَ نفسِهِ سريعًا، فأخذَ يتهكّمُ على تلعثمِ عُمَرَ في القراءةِ أمامَ الطلاب، وتمادى في المزاحِ حتى بدا كأنّهُ استهزاءٌ ظاهرٌ.,احمرَّ وجهُ عُمَرَ وانسحبَ صامتًا، وقلَّ احترامُ الزملاءِ لسليمٍ وشاعَ بينهم نفورٌ، فتفرّقَ الفريقُ وضعُفَ تعاونُهُ في الاستعدادِ للمسابقةِ.
الحلم,وليس يتِمُّ الحِلمُ للمرءِ راضيًا إذا كان عندَ السُّخطِ لا يتحلَّمُ,في ساحةِ المدرسةِ بعدَ صلاةِ الظُّهرِ، كانَ يوسفُ يقودُ فريقَ الصفِّ في لعبةِ الكرةِ، وبينَ التلاميذِ زميلٌ سريعُ الغضبِ يُدعى حازم.,أرادَ يوسفُ أن يُتمَّ المباراةَ في أمانٍ وأن يُعلِّمَ رفاقَه أدبَ الرِّفقِ عندَ الخلافِ، ليبقى الودُّ قائمًا بينَ أبناءِ الصفِّ الواحد.,لما اتَّهمَ حازمٌ يوسفَ بالمحاباةِ وارتفعَ صوتهُ، كظَمَ يوسفُ غيظَه، وابتسمَ، ثم اقترحَ إعادةَ العدِّ أمامَ الجميعِ وإنصافَ كلِّ لاعبٍ بالقرعةِ.,هدأَ حازمٌ حين رأى سكينةَ يوسفَ وعدلَه، فاعتذرَ أمامَ التلاميذِ، وتعاونَ الفريقانِ على إتمامِ اللعبِ، وصارتِ الساحةُ أصفى حديثًا وأحسنَ عشرةً.,لما اتَّهمَ حازمٌ يوسفَ بالمحاباةِ، استبدَّ الغضبُ بيوسفَ، فصاحَ فيهِ ونعتهُ بالسفهِ، ودفعَ الكرةَ بعيدًا ليقطعَ اللعبَ ويُظهرَ قوَّتَهُ.,اشتعلَ النزاعُ بينَ التلاميذِ، وانقسموا أحزابًا يتلاومون، وتدخَّلَ المعلِّمُ معاتبًا، فخسرَ يوسفُ مكانتَهُ بينهم، وسادَ التوجسُ بدلَ الألفةِ في ساحةِ المدرسةِ.
الاعتدال والوسطية,عليك بأوساطِ الأمورِ، فإنَّها نجاةٌ، ولا تركَبْ ذَلولًا ولا صَعبًا.,يعيش فتى ذكيٌّ يُدعى حسن مع والده المُزارع في قريةٍ زراعيةٍ محدودة الموارد.,يريد حسن أن يصنع عَرَبة لوالده لنقل الثمار الزراعية من الحقل إلى المنزل.,يصنع حسن عَرَبة من أخشابٍ متوسطة المتانة يسيرة الحركة والنقل.,فَرِح الأب بالعَرَبة فرحًا شديدًا، وصارت خير معينٍ بعد الله للأب.,يصنع حسن عَرَبة من أخشاب رقيقة وأغصان ضعيفة جدًّا.,لم تمضِ بضع دقائق على استخدامها حتى انكسرت؛ فحزن الأب حزنًا شديدًا على فسادها وفساد الثمار التي كانت تحتويها.
الصمت,واعمِدْ إلى صِدقِ الحديـثِ فإنَّه أزكى فُنونِه والصَّمتُ أجمَلُ بالفتى من منطِقٍ في غيرِ حينِه لا خيرَ في حَشوِ الكلا مِ إذا اهتدَيْتَ إلى عُيونِه,في مجلسِ المطالعةِ بمدرسةِ الحيّ، كان ياسرُ يجلسُ مع زملائه قربَ رفوفِ الكتب، والهدوءُ يعمُّ المكانَ إلّا همسَ العابرين.,أراد ياسرُ أن يحفظَ احترامَه بين أصحابه، وأن يُحسِنَ المشاركةَ في الحديثِ عند الحاجة دون أن يملأ المجلسَ بكلامٍ يذهبُ سدى.,لمّا احتدمَ النقاشُ حول خطإٍ وقعَ في رحلةٍ سابقة، أنصتَ ياسرُ وتثبّتَ، ثم قال كلمةً صادقةً موجزةً وأمسكَ عمّا لا يفيد.,هدأ المجلسُ سريعًا، وشعرَ زملاؤه بالطمأنينة لرجاحةِ رأيه، فصاروا يستشيرونه عند اختلافهم، وزادت بين الفريقِ ألفةٌ واحترامٌ.,ولمّا أراد أن يبدو أسبقَهم علمًا، أخذ ياسرُ يقاطعُ المتحدّثين، ويُكثرُ من الحشوِ والظنونِ، ويُضخّمُ الحكايةَ بكلماتٍ لا بيّنةَ لها.,تضايقَ الزملاءُ وانقسموا فريقين، وارتفعت الأصواتُ في المجلسِ حتى شكا أمينُ المكتبة، فضعفت ثقتهم بياسرٍ وقلَّت مجالستهم له.
البر,بُنَيَّ إنَّ البِرَّ شَيءٌ هَيِّنُ المَنطِقُ اللَّيِّنُ والطُّعَيِّمُ,كان ياسرُ غلامًا يسكنُ مع أُمِّهِ خديجةَ في بيتٍ صغيرٍ بقربِ المسجدِ والسوقِ، وتُعنِيها أعمالُ البيتِ ويُلهيهِ لَعِبُهُ.,أراد ياسرُ أن يَكسبَ رضا أمِّهِ ويَسعدَ قلبَها، ليأذنَتْ لهُ بالخروجِ بعدَ العصرِ إلى ساحةِ الحيِّ مع أقرانهِ.,لَمّا رآها مُتعبةً، لانتْ كلمتُهُ وقَرُبَ منها، فحملَ السِّقاءَ ونظّفَ الموضعَ، ثم قَدَّمَ لها طعامًا بسيطًا بيدٍ مُبَارَكةٍ.,ابتسمتْ خديجةُ ودَعَتْ لابنِها بخيرٍ، فانتشرَ حُسنُ ذِكرِه بينَ الجيرانِ، ورقَّ قلبُ الصِّبيانِ فتعاونوا في خدمةِ أُمّهاتِهم.,تجاهلَ ياسرُ تعبَ أمِّهِ وغلُظَ في جوابِهِ، فألقى حاجاتِهُ في أرجاءِ البيتِ وتركَها تُصلِحُ الفوضى وحدَها، ثم طالَبَها بالإذنِ للخروجِ مُستعجِلًا.,اغتمّتْ خديجةُ وسكتتْ كمدًا، فتغيّرَ جوُّ البيتِ وانطفأتْ المودّةُ فيه، وسمعَ الجيرانُ صَوتَ الجفاءِ فَقَلَّتْ زيارتُهم وثِقَتُهم به.
الإعراض عن الجاهلين,وَلَا تَسْتَوِي الْحَسَنَةُ وَلَا السَّيِّئَةُ ادْفَعْ بِالَّتِي هِيَ أَحْسَنُ فَإِذَا الَّذِي بَيْنَكَ وَبَيْنَهُ عَدَاوَةٌ كَأَنَّهُ وَلِيٌّ حَمِيمٌ [فصلت: 34],كان حسانُ تلميذاً مجتهداً في مدرسةٍ عتيقةٍ بحيٍّ هادئ، يتردد إلى ساحة اللعب بعد الدرس، ويخالطه زميلٌ حادّ الطبع يُدعى سليم.,أراد حسانُ أن يحفظ ودَّ الصفّ وأن يُنهي ما بينه وبين سليمٍ من جفوةٍ قديمة، ليعمَّ التعاون في الدرس واللعب دون خصومة.,لمّا سمع حسانُ سليمًا يعيّره أمام الصبيان، كظم غيظه، وردّ بلطفٍ ودعاه لمشاركته ترتيبَ الكرات، ثم أثنى على اجتهاده في الحساب.,هدأ سليمٌ واستحيا من حدّته، فمالت قلوبُ الصبيان إلى حسانٍ لِحِلمه، وتحولت الخصومة إلى مودةٍ ظاهرة، وصارت الساحة أصفى وأبعد عن الشجار.,لمّا عيّره سليمٌ بين الصبيان، ثار حسانُ وردّ عليه بسخريةٍ جارحة، ورفع صوته مذكّراً بأخطائه، ودفعه عن موضع اللعب ليغلبه أمام الجميع.,اشتعلت الخصومة وتفرّق الصبيان أحزاباً، وكثرت الشكايات إلى المعلم، فضاق جوّ الصفّ وتقلّص التعاون، وبقي في القلوب حقدٌ يفسد اللعب والدرس أياماً.
الإنصات,وِإِذَا قُرِئَ القُرْآنُ فَاسْتَمِعُوا لَهُ وَأَنْصِتُوا لَعَلَّكُمْ تُرْحَمُونَ [الأعراف: 204],في مسجد الحيّ بعد العصر جلسَتْ مريمُ مع أختها خديجة بين صفوف النساء، والشيخ يفسّر آياتٍ من القرآن والسكينة تعمّ المكان.,أرادتْ مريمُ أن تفهمَ معنى الآيات لتعملَ بها في بيتها، وتُحسِنَ أدبَها مع أهلها، وتعودَ بالنفع على صديقاتها.,حين بدأ الشيخُ التلاوة أغلقتْ مريمُ هاتفها، وأشارتْ لخديجة أن تكفَّ همسَها، وجلستْ بخشوعٍ تُصغي وتدوّنُ الفوائدَ في كُرّاستها.,اطمأنّت النساءُ إلى هدوء مريم، فازدادَ انتباهُ المجلس، وبعد الدرس سألتها الصغيراتُ عمّا كتبتْ، فانتشرَ العلمُ بلطفٍ ووئام.,لمّا ارتفع صوتُ التلاوة جعلتْ مريمُ تُحادثُ خديجة وتُريها صوراً في الهاتف، وضحكتْ خفيةً حتى تشوّشَتْ قلوبُ الجالساتِ حولهما.,التفتت النساءُ باستنكارٍ، واضطربَ صفُّهنّ، ثم نبهتهما مشرفةُ المصلى برفقٍ شديد، فشعرتْ مريمُ بالخجل وضعفَ قبولُ الناسِ لها.
الحذر، واليقظة، والحيطة,يَا بَنِي آدَمَ لَا يَفْتِنَنَّكُمُ الشَّيْطَانُ كَمَا أَخْرَجَ أَبَوَيْكُمْ مِنَ الْجَنَّةِ يَنْزِعُ عَنْهُمَا لِبَاسَهُمَا لِيُرِيَهُمَا سَوْآتِهِمَا إِنَّهُ يَرَاكُمْ هُوَ وَقَبِيلُهُ مِنْ حَيْثُ لَا تَرَوْنَهُمْ إِنَّا جَعَلْنَا الشَّيَاطِينَ أَوْلِيَاءَ لِلَّذِينَ لَا يُؤْمِنُونَ [الأعراف: 27],كان ياسرُ تلميذًا مجتهدًا في مدرسةٍ قريبةٍ من المسجد، وفي ساحةِ الحيِّ أطفالٌ يلعبون، واعتاد أن يحمل هاتفَ أبيه ليُراجع دروسه.,أراد ياسرُ أن يحفظ هاتفَ أبيه وسمعةَ بيتِه، وألا يقع في حيلةٍ تُفسد عليه دراستَه أو تُدخل عليه ندمًا بعد فرحٍ قصير.,لمّا دعاه فتى مجهول إلى لعبةٍ سرّية خلف السوق، توقّف ياسرُ، واستعاذ بالله، ثم أخبر معلّمَه وطلب من أبيه نصحًا قبل أن يذهب.,اطمأنّ الأبُ والمعلمُ لياسر، وانتبه أهلُ الحيِّ لتلك الدعوة المريبة، فحُفظتْ صغارُهم من الغواية، وزادت الثقةُ بين الأسرة والمدرسة في الرعاية.,لمّا دعاه الفتى إلى لعبةٍ خفيّة، اندفع ياسرُ وراءه دون سؤالٍ أو استشارة، وأخفى أمره عن والديه، وترك هاتفَ أبيه في جيبه بين الزحام.,ضاعتْ منه الأمانةُ واختلطتْ عليه الأخبار، فحزن الأبُ واشتدّ لومُ الأسرة، وتناقل الصبيانُ القصةَ سخريةً، فضعفت هيبتُه بين رفاقه وتكدّر جوُّ الحي.
الحلم,تخالُهمُ للحِلمِ صُمًّا عن الخَنا وخُرسًا عن الفَحشاءِ عندَ التَّهاتُرِ ومرضى إذا لاقَوا حياءً وعفَّةً وعندَ الحُروبِ كاللُّيوثِ الخوادِرِ لهم ذُلُّ إنصافٍ ولينُ تواضُعٍ بهم ولهم ذلَّت رِقابُ المعاشِرِ كأنَّ بهم وَصمًا يخافونَ عارَه وما وَصْمُهم إلَّا اتِّقاءُ المعايِرِ,في مدرسةِ الحيّ اجتمعَ الصبيانُ حولَ ملعبِ الكرة، وكانَ ياسرٌ تلميذًا مُجِدًّا، وبينهم حسّانُ سريعُ الغضب، والجوُّ مشحونٌ بالمنافسةِ والكلامِ العالي.,أرادَ ياسرٌ أن يحفظَ كرامتَه أمامَ زملائِه، وأن يُتمَّ المباراةَ بسلامٍ من غيرِ خصومةٍ تُفسِدُ الودَّ وتُسقِطُ هيبةَ الصفِّ عندَ المعلّم.,لمّا اتَّهمه حسّانُ بالخطإ ورفعَ صوتَه، تأنّى ياسرٌ وكفَّ لسانَه، ثم عرضَ إعادةَ اللقطةِ وتقسيمَ الأدوارِ بالعدلِ، واستأذنَ المعلّمَ للفصلِ بينهما.,هدأَ الصبيانُ واقتدوا بسكينةِ ياسرٍ، فصارَ الكلامُ ألطفَ والتعاونُ أوثقَ، وشكرَه المعلّمُ علنًا، وازدادَ احترامُ الزملاءِ له واطمأنَّتْ نفوسُ الفريقين.,لمّا اشتدَّ لغطُ حسّان، قابله ياسرٌ بحدّةٍ وسخرَ من لعبِه، ودفعَ الكرةَ بعيدًا غيظًا، وأثارَ الصبيانَ ليأخذوا جانبَه، فاشتعلتِ الخصومةُ بينهم سريعًا.,انقسمَ الصبيانُ شيَعًا وتبادلوا الشكوى واللمزَ، وتعطّلَ اللعبُ وصارَ الملعبُ موضعَ نزاعٍ، وغضبَ المعلّمُ فعاقبَ الفريقين، وبقيتْ القطيعةُ أيّامًا تُكدِّرُ جوَّ الصفِّ.
